method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23693,Wallets,0.61874901,0.80000000,0.40000000,0.00000000,0.61374194,0.90000000,0.30000000,0.00000000,0.59012408,0.95000000,0.20000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23696,Sunglasses,0.77657324,1.00000000,0.40000000,0.00000000,0.85501132,1.00000000,0.70000000,0.20000000,0.76477965,0.95000000,0.50000000,0.10000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23705,Sunglasses,0.68002731,1.00000000,0.40000000,0.00000000,0.72583361,1.00000000,0.50000000,0.00000000,0.71384316,1.00000000,0.45000000,0.20000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23711,Sunglasses,0.76481736,1.00000000,0.60000000,0.00000000,0.78085655,1.00000000,0.60000000,0.20000000,0.73661941,1.00000000,0.45000000,0.10000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23712,Sunglasses,0.50000000,1.00000000,0.00000000,0.00000000,0.53312711,1.00000000,0.10000000,0.00000000,0.54725936,1.00000000,0.10000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23714,Sunglasses,0.50000000,1.00000000,0.00000000,0.00000000,0.53471561,1.00000000,0.10000000,0.20000000,0.53943581,1.00000000,0.10000000,0.25000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23715,Sunglasses,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.30000000,0.50821744,1.00000000,0.00000000,0.15000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23716,Sunglasses,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.52587809,1.00000000,0.05000000,0.15000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23717,Sunglasses,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.30000000,0.50821744,1.00000000,0.00000000,0.15000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,23719,Sunglasses,0.69178318,1.00000000,0.40000000,0.00000000,0.69426324,1.00000000,0.40000000,0.00000000,0.71492240,1.00000000,0.45000000,0.00000000,,,
