scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,query_variant,query_id,clean_ndcg_at_10,canvas_ndcg_at_10,ndcg_change_from_clean,top10_overlap
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24283,0.64924502,0.00000000,-0.64924502,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24283,0.64924502,0.00000000,-0.64924502,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24289,0.42261402,0.42261402,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24289,0.42261402,0.00000000,-0.42261402,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24289,0.42261402,0.17985496,-0.24275907,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24293,0.65157977,0.65157977,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24293,0.65157977,0.00000000,-0.65157977,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24293,0.65157977,0.00000000,-0.65157977,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24294,0.50000000,0.50000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24294,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24294,0.50000000,0.37554584,-0.12445416,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24311,0.50487157,0.50487157,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24311,0.50487157,0.00000000,-0.50487157,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24311,0.50487157,0.00000000,-0.50487157,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24335,0.56493751,0.56493751,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24335,0.56493751,0.00000000,-0.56493751,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,24335,0.56493751,0.13679363,-0.42814387,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,24337,0.53471561,0.53471561,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,24337,0.53471561,0.00000000,-0.53471561,0.00000000
