method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.58571974,2619,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.14066438,2619,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.45658365,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.35668951,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.72994505,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.47527802,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.15039683,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.08880959,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03020134,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02077916,6556,108,
