target,class,fold,feature,train_n,val_n,train_mean,val_mean,standardized_mean_difference,wasserstein_distance
gender,Boys,3,foreground_center_y,548,136,0.5051665145985401,0.5031249999999999,-0.06093018962113773,0.005565022541863461
gender,Girls,3,brightness,435,108,0.9204654631943539,0.9151123618638074,-0.11041559325768449,0.006702469241725687
gender,Girls,3,foreground_fraction,435,108,0.22415421455938697,0.2457677469135802,0.2676007767043517,0.021641150489569997
gender,Girls,3,near_white_fraction,435,108,0.7783654214559387,0.7567438271604937,-0.27002865617194005,0.022111723073648355
gender,Girls,3,foreground_center_x,435,108,0.4949999999999999,0.49845679012345684,0.2189070021442514,0.003612175393784599
gender,Girls,3,foreground_center_y,435,108,0.5095689655172413,0.5045717592592592,-0.14900500689071672,0.005488106641123878
gender,Men,3,brightness,14203,3550,0.8210785350463495,0.8217786940323635,0.008208381804934307,0.0019711980707063895
gender,Men,3,foreground_fraction,14203,3550,0.3831437411501482,0.38322685473906903,0.00048592190616394314,0.0040307742365589
gender,Men,3,near_white_fraction,14203,3550,0.6246922794088886,0.6250716759102356,0.002259019441793727,0.004249641376415068
gender,Men,3,foreground_center_x,14203,3550,0.49802741204909756,0.49802458145096995,-0.00014445129898358095,0.000380454821635893
gender,Men,3,foreground_center_y,14203,3550,0.5083842322044638,0.5078292253521127,-0.017683835576376334,0.0009443168374465632
gender,Unisex,3,brightness,1412,354,0.8271973171289851,0.821099172035853,-0.060662858862600436,0.006669508076333616
gender,Unisex,3,foreground_fraction,1412,354,0.31633655964746615,0.3264542137476459,0.056912530260518346,0.011685240646489858
gender,Unisex,3,near_white_fraction,1412,354,0.6884588940037771,0.6786923258003768,-0.05517178832533646,0.011681733747059104
gender,Unisex,3,foreground_center_x,1412,354,0.4995691690273843,0.5001647834274953,0.04376528856363447,0.0009566574905437952
gender,Unisex,3,foreground_center_y,1412,354,0.5098722261567517,0.5065501412429378,-0.06577312772932238,0.004055557889598437
gender,Women,3,brightness,9621,2406,0.8564652678079608,0.8550844933970809,-0.017751512332079587,0.0017604582686251643
gender,Women,3,foreground_fraction,9621,2406,0.3282276570818072,0.3294420215838809,0.008115851209142625,0.0033112178127203736
gender,Women,3,near_white_fraction,9621,2406,0.6828665284295774,0.6811935357492014,-0.011228893947659697,0.002740303186031522
gender,Women,3,foreground_center_x,9621,2406,0.4974233513037192,0.4961173455250762,-0.054053930309694,0.0014345259016109834
gender,Women,3,foreground_center_y,9621,2406,0.5134780254997747,0.5148898586866169,0.02929941308375212,0.002071027585559191
usage,Casual,3,brightness,20127,5024,0.8387168480596321,0.8373440291234262,-0.01579353260532643,0.0017662810131735354
usage,Casual,3,foreground_fraction,20127,5024,0.34928832261054255,0.3515857961971217,0.013616136810005461,0.003041940221424302
usage,Casual,3,near_white_fraction,20127,5024,0.6600026522879505,0.6578453048011056,-0.012959998898322098,0.00280630288318194
usage,Casual,3,foreground_center_x,20127,5024,0.4980077373458413,0.49788427497696597,-0.006272992145229348,0.0004820729088923913
usage,Casual,3,foreground_center_y,20127,5024,0.5128470255543962,0.5124328224522292,-0.009727495767665855,0.0014015397050254233
usage,Ethnic,3,brightness,1745,438,0.8376353623190719,0.8452834271949176,0.1167681249934449,0.009493282166132008
usage,Ethnic,3,foreground_fraction,1745,438,0.3773679943594457,0.3777939497716895,0.004866713736532158,0.006533493851362132
usage,Ethnic,3,near_white_fraction,1745,438,0.6273036460867527,0.6272345890410959,-0.000788426098979411,0.006695253247287045
usage,Ethnic,3,foreground_center_x,1745,438,0.49503820439350527,0.490734398782344,-0.12567020223880787,0.004424371873541713
usage,Ethnic,3,foreground_center_y,1745,438,0.5022242120343839,0.5026826484018265,0.029538417406829633,0.0007755688137012486
usage,Formal,3,brightness,1556,393,0.8279521441360059,0.8286935167609887,0.010366231708205782,0.004546895116501136
usage,Formal,3,foreground_fraction,1556,393,0.36161819837189374,0.36220357886388416,0.0036695560087616668,0.0072120658490215485
usage,Formal,3,near_white_fraction,1556,393,0.6468456780205655,0.6470049665135542,0.001022570510130413,0.00674627097525592
usage,Formal,3,foreground_center_x,1556,393,0.4986610968294772,0.4977311280746395,-0.03413512311219404,0.00170875387839025
usage,Formal,3,foreground_center_y,1556,393,0.5085234575835476,0.5084605597964377,-0.0023931453584038944,0.002493875795574218
usage,NA,3,brightness,49,12,0.8699968140952441,0.8287795390933752,-0.507103223071788,0.06800666592102876
usage,NA,3,foreground_fraction,49,12,0.2575680272108843,0.27776041666666673,0.15343904026080665,0.07499539399092972
usage,NA,3,near_white_fraction,49,12,0.7448001700680271,0.7273263888888891,-0.13313283741910198,0.07401289682539682
usage,NA,3,foreground_center_x,49,12,0.4969387755102041,0.5006944444444442,0.29584922837156874,0.004095804988662128
