method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44594,Belts,0.65039259,1.00000000,0.40000000,0.00000000,0.77312871,1.00000000,0.70000000,0.00000000,0.76553418,1.00000000,0.60000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44601,Wallets,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.58025742,1.00000000,0.00000000,0.10000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44610,Sports Shoes,0.31564845,0.40000000,0.20000000,0.00000000,0.37456822,0.50000000,0.30000000,0.00000000,0.33235985,0.40000000,0.25000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44613,Sports Shoes,0.29646094,0.60000000,0.20000000,0.00000000,0.47495893,0.80000000,0.40000000,0.00000000,0.46499059,0.80000000,0.25000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44615,Flip Flops,0.33041990,0.80000000,0.00000000,0.00000000,0.39482568,0.80000000,0.10000000,0.00000000,0.41509244,0.85000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44616,Flip Flops,0.43439746,0.80000000,0.00000000,0.00000000,0.49055555,0.90000000,0.10000000,0.00000000,0.44297131,0.75000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44618,Flip Flops,0.33041990,0.80000000,0.00000000,0.00000000,0.38995412,0.90000000,0.00000000,0.00000000,0.37670800,0.80000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44656,Shirts,0.16958010,0.20000000,0.00000000,0.00000000,0.18844415,0.20000000,0.10000000,0.00000000,0.13864719,0.15000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44668,Shirts,0.08479005,0.20000000,0.00000000,0.00000000,0.05502294,0.10000000,0.00000000,0.00000000,0.03551001,0.05000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44678,Tops,0.23819821,0.40000000,0.20000000,0.00000000,0.18770145,0.30000000,0.10000000,0.00000000,0.15506054,0.25000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44681,Dresses,0.10699313,0.20000000,0.00000000,0.00000000,0.06943122,0.10000000,0.00000000,0.00000000,0.08175597,0.15000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44684,Tops,0.16958010,0.20000000,0.00000000,0.00000000,0.11004588,0.10000000,0.00000000,0.00000000,0.11833072,0.15000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44690,Tops,0.51175588,0.60000000,0.20000000,0.00000000,0.47198447,0.60000000,0.20000000,0.00000000,0.37595727,0.50000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44691,Tops,0.10699313,0.20000000,0.00000000,0.00000000,0.10414683,0.20000000,0.00000000,0.00000000,0.10229883,0.20000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44697,Tops,0.15782423,0.40000000,0.00000000,0.00000000,0.20207024,0.50000000,0.00000000,0.00000000,0.19954045,0.45000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44699,Tops,0.17259567,0.40000000,0.00000000,0.00000000,0.21521075,0.50000000,0.00000000,0.00000000,0.20900163,0.40000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44701,Tops,0.28702044,0.40000000,0.20000000,0.00000000,0.22097224,0.30000000,0.10000000,0.00000000,0.15998335,0.20000000,0.05000000,0.10000000,,,
