scope,fold,method,descriptor_fingerprint,query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2360,teacher,teacher,0.02098322,0.13070216,0.15168538
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2378,teacher,teacher,0.02152432,0.13042738,0.15195170
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2384,teacher,teacher,0.02221952,0.13362117,0.15584069
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2400,teacher,teacher,0.02257474,0.13464734,0.15722208
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2488,teacher,teacher,0.02224490,0.13162024,0.15386514
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2490,teacher,teacher,0.02157198,0.13124815,0.15282013
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2493,teacher,teacher,0.02280670,0.13124619,0.15405289
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2548,teacher,teacher,0.02192348,0.13170965,0.15363313
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2550,teacher,teacher,0.02138503,0.13353123,0.15491626
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2576,teacher,teacher,0.02261075,0.13399126,0.15660201
