candidate,variant,experiment_id,run_id,fold,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,10,0.6546006253223274,0.7856660831687797,0.6877289377289377,0.6611616071963498
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,11,0.646325667233582,0.6990111174018683,0.7219169719169719,0.7008073475322237
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,12,0.633085515338871,0.693950028864892,0.719017094017094,0.7006585236324498
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,13,0.6191560233473291,0.686073079359546,0.7257326007326007,0.7049426727429816
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,14,0.602763712574501,0.7352021773947318,0.7081807081807082,0.6837334196788655
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,15,0.5883634733719697,0.6701375998565711,0.7306166056166056,0.7093621577029956
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,16,0.5756597840159473,0.6562125913534991,0.7402319902319903,0.727419432186101
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,17,0.5607438237720498,0.6795368721488049,0.733058608058608,0.7172892017013848
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,18,0.5459251672042007,0.6778903696708772,0.7345848595848596,0.7190353798994441
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,19,0.5327189487563049,0.6732412117450374,0.740995115995116,0.7289151224015156
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,20,0.5120713760195732,0.6719469430245759,0.7326007326007326,0.7295383235177723
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,21,0.49864203282646685,0.6855549224639841,0.7371794871794872,0.7212521883362978
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,22,0.4806417973413435,0.6721459827289186,0.7435897435897436,0.7327304223632368
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,23,0.4689423062752132,0.6849280650362427,0.7442002442002442,0.7333170546047707
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,24,0.4524769881409428,0.6835800242656899,0.7396214896214897,0.7336092524649502
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,25,0.44220168721193137,0.6861281028160682,0.7388583638583639,0.7317052654902805
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,26,0.43379174347988664,0.6846304475460588,0.7438949938949939,0.7313100070303789
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,27,0.42231936677042015,0.6927702103778993,0.7423687423687424,0.7322161128865641
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,28,0.41707393450935554,0.6847386657827794,0.7457264957264957,0.734809718676507
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,29,0.41159014535821087,0.689874024691017,0.7406898656898657,0.73020407533723
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,4,2753,30,0.4121636778342579,0.6916060871984787,0.7435897435897436,0.7321856399325399
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,g5-c2-t0-resnet18-s2026-f0-s2026-5444e94d7f03,0,2026,1,1.0355769624711175,0.935138108257119,0.6012213740458016,0.4345495569497663
