query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
3811,teacher,teacher,0.01708282,0.06734592,0.08442875
3814,teacher,teacher,0.01692613,0.06708509,0.08401122
3817,teacher,teacher,0.01701330,0.06732992,0.08434322
3824,teacher,teacher,0.01653505,0.06714461,0.08367966
3830,teacher,teacher,0.01655220,0.06684013,0.08339233
3847,teacher,teacher,0.01753961,0.06696124,0.08450085
3855,teacher,teacher,0.01716856,0.06711538,0.08428394
3864,teacher,teacher,0.01745078,0.06727966,0.08473044
3878,teacher,teacher,0.01740129,0.06719010,0.08459139
3884,teacher,teacher,0.01738940,0.06709936,0.08448876
3887,teacher,teacher,0.01746766,0.06707046,0.08453812
3889,teacher,teacher,0.01732746,0.06717172,0.08449917
3893,teacher,teacher,0.01675265,0.06708245,0.08383510
3900,teacher,teacher,0.01661612,0.06718752,0.08380364
3915,teacher,teacher,0.01748875,0.06709204,0.08458079
3921,teacher,teacher,0.01703742,0.06697279,0.08401021
3922,teacher,teacher,0.01729920,0.06711730,0.08441650
3926,teacher,teacher,0.01727130,0.06736019,0.08463150
3931,teacher,teacher,0.01726812,0.06754440,0.08481252
3937,teacher,teacher,0.01744664,0.06695968,0.08440632
3939,teacher,teacher,0.01746199,0.06729954,0.08476153
3943,teacher,teacher,0.01736955,0.06745254,0.08482208
3947,teacher,teacher,0.01752050,0.06700407,0.08452456
3950,teacher,teacher,0.01732817,0.06715178,0.08447995
3952,teacher,teacher,0.01750416,0.06711507,0.08461923
3962,teacher,teacher,0.01732747,0.06709009,0.08441756
3964,teacher,teacher,0.01732546,0.06706139,0.08438685
3972,teacher,teacher,0.01761369,0.06681699,0.08443068
3980,teacher,teacher,0.01731551,0.06666912,0.08398463
3987,teacher,teacher,0.01746256,0.06700028,0.08446284
3993,teacher,teacher,0.01764758,0.06708223,0.08472981
4005,teacher,teacher,0.01674842,0.06728058,0.08402900
4013,teacher,teacher,0.01693932,0.06728369,0.08422301
4024,teacher,teacher,0.01670051,0.06741738,0.08411789
4028,teacher,teacher,0.01680267,0.06688512,0.08368779
4029,teacher,teacher,0.01767913,0.06728582,0.08496495
4030,teacher,teacher,0.01765234,0.06725179,0.08490413
4031,teacher,teacher,0.01766669,0.06693601,0.08460271
4032,teacher,teacher,0.01778255,0.06729735,0.08507990
4044,teacher,teacher,0.01684751,0.06713147,0.08397898
4050,teacher,teacher,0.01788615,0.06716172,0.08504787
4051,teacher,teacher,0.01769882,0.06673179,0.08443061
4056,teacher,teacher,0.01773762,0.06710312,0.08484074
4057,teacher,teacher,0.01767075,0.06719689,0.08486764
4068,teacher,teacher,0.01679913,0.06718172,0.08398086
4073,teacher,teacher,0.01682445,0.06736482,0.08418927
4074,teacher,teacher,0.01659083,0.06743758,0.08402841
4079,teacher,teacher,0.01789243,0.06757718,0.08546961
4090,teacher,teacher,0.01768465,0.06760442,0.08528907
4092,teacher,teacher,0.01774425,0.06745673,0.08520098
4097,teacher,teacher,0.01732800,0.06773778,0.08506578
4099,teacher,teacher,0.01729925,0.06803133,0.08533058
4101,teacher,teacher,0.01684401,0.06799699,0.08484100
4103,teacher,teacher,0.01707128,0.06788488,0.08495616
4134,teacher,teacher,0.01708187,0.06812978,0.08521166
4136,teacher,teacher,0.01687989,0.06790553,0.08478542
4139,teacher,teacher,0.01661445,0.06758410,0.08419854
4146,teacher,teacher,0.01673111,0.06743765,0.08416876
4149,teacher,teacher,0.01662637,0.06754354,0.08416991
4150,teacher,teacher,0.01676609,0.06680982,0.08357591
4156,teacher,teacher,0.01680272,0.06672552,0.08352824
4161,teacher,teacher,0.01721225,0.06666797,0.08388022
4170,teacher,teacher,0.01673310,0.06674563,0.08347872
4172,teacher,teacher,0.01691189,0.06667446,0.08358635
4179,teacher,teacher,0.01674458,0.06680231,0.08354689
4190,teacher,teacher,0.01679533,0.06655434,0.08334967
4202,teacher,teacher,0.01658105,0.06670892,0.08328997
4214,teacher,teacher,0.01691170,0.06699950,0.08391119
4216,teacher,teacher,0.01678920,0.06707375,0.08386296
4219,teacher,teacher,0.01685030,0.06686665,0.08371695
4220,teacher,teacher,0.01751305,0.06703658,0.08454963
4229,teacher,teacher,0.01734305,0.06707573,0.08441878
4232,teacher,teacher,0.01742377,0.06688270,0.08430647
4247,teacher,teacher,0.01736066,0.06748635,0.08484700
4249,teacher,teacher,0.01745697,0.06732045,0.08477741
4251,teacher,teacher,0.01742305,0.06692529,0.08434835
4257,teacher,teacher,0.01742634,0.06673404,0.08416038
4260,teacher,teacher,0.01762911,0.06673749,0.08436659
4267,teacher,teacher,0.01660519,0.06659192,0.08319710
4269,teacher,teacher,0.01694237,0.06676063,0.08370301
4270,teacher,teacher,0.01693330,0.06699749,0.08393078
4275,teacher,teacher,0.01674061,0.06660699,0.08334760
4292,teacher,teacher,0.01744601,0.06680880,0.08425481
4300,teacher,teacher,0.01755541,0.06739999,0.08495540
4303,teacher,teacher,0.01662929,0.06699892,0.08362821
4305,teacher,teacher,0.01655629,0.06682189,0.08337818
4323,teacher,teacher,0.01682417,0.06679176,0.08361593
4324,teacher,teacher,0.01680755,0.06689349,0.08370105
4326,teacher,teacher,0.01669724,0.06667890,0.08337614
4329,teacher,teacher,0.01686401,0.06681586,0.08367987
4345,teacher,teacher,0.01715457,0.06699653,0.08415110
4346,teacher,teacher,0.01672190,0.06658796,0.08330986
4358,teacher,teacher,0.01750466,0.06684395,0.08434860
4359,teacher,teacher,0.01751719,0.06652524,0.08404243
4362,teacher,teacher,0.01734321,0.06678317,0.08412638
4365,teacher,teacher,0.01737720,0.06714202,0.08451922
4377,teacher,teacher,0.01734315,0.06727565,0.08461880
4385,teacher,teacher,0.01749596,0.06728855,0.08478450
4392,teacher,teacher,0.01743864,0.06739156,0.08483020
4400,teacher,teacher,0.01732795,0.06971044,0.08703838
4402,teacher,teacher,0.01751702,0.06949556,0.08701257
4407,teacher,teacher,0.01736157,0.06962176,0.08698333
4410,teacher,teacher,0.01746700,0.06922417,0.08669117
