model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
U1,folds_0_4,2.0,Formal,0.7812293456708527,0.8051771117166212,734,0.7586649550706034,779
U1,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
U1,folds_0_4,4.0,NA,0.19999999999999998,0.375,8,0.13636363636363635,22
U1,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
U1,folds_0_4,6.0,Smart Casual,0.0909090909090909,0.25,4,0.05555555555555555,18
U1,folds_0_4,7.0,Sports,0.680363492690636,0.721709974853311,1193,0.6434977578475336,1338
U1,folds_0_4,8.0,Travel,0.2,0.5,2,0.125,8
U2,all_available_folds,0.0,Casual,0.9183376379431791,0.8707034728406056,11230,0.9714853452558371,10065
U2,all_available_folds,1.0,Ethnic,0.7635179153094462,0.8851963746223565,662,0.6712485681557846,873
U2,all_available_folds,2.0,Formal,0.6498819826907947,0.8394308943089431,492,0.5301668806161746,779
U2,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
U2,all_available_folds,4.0,NA,0.16,0.6666666666666666,3,0.09090909090909091,22
U2,all_available_folds,5.0,Party,0.0,0.0,0,0.0,6
U2,all_available_folds,6.0,Smart Casual,0.0,0.0,0,0.0,18
U2,all_available_folds,7.0,Sports,0.5524271844660195,0.7880886426592798,722,0.4252615844544096,1338
U2,all_available_folds,8.0,Travel,0.2222222222222222,1.0,1,0.125,8
U2,folds_0_4,0.0,Casual,0.9183376379431791,0.8707034728406056,11230,0.9714853452558371,10065
U2,folds_0_4,1.0,Ethnic,0.7635179153094462,0.8851963746223565,662,0.6712485681557846,873
U2,folds_0_4,2.0,Formal,0.6498819826907947,0.8394308943089431,492,0.5301668806161746,779
U2,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
U2,folds_0_4,4.0,NA,0.16,0.6666666666666666,3,0.09090909090909091,22
U2,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
U2,folds_0_4,6.0,Smart Casual,0.0,0.0,0,0.0,18
U2,folds_0_4,7.0,Sports,0.5524271844660195,0.7880886426592798,722,0.4252615844544096,1338
U2,folds_0_4,8.0,Travel,0.2222222222222222,1.0,1,0.125,8
S1,all_available_folds,0.0,Casual,0.9134348051458462,0.8687701685191825,11156,0.9629408842523597,10065
S1,all_available_folds,1.0,Ethnic,0.7862232779097386,0.8162762022194822,811,0.7583046964490263,873
S1,all_available_folds,2.0,Formal,0.5209634255129348,0.8538011695906432,342,0.3748395378690629,779
S1,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
S1,all_available_folds,4.0,NA,0.08333333333333334,0.5,2,0.045454545454545456,22
S1,all_available_folds,5.0,Party,0.0,0.0,0,0.0,6
S1,all_available_folds,6.0,Smart Casual,0.0,0.0,0,0.0,18
S1,all_available_folds,7.0,Sports,0.5699578848853533,0.7622027534418022,799,0.4551569506726457,1338
S1,all_available_folds,8.0,Travel,0.0,0.0,0,0.0,8
S1,folds_0_4,0.0,Casual,0.9134348051458462,0.8687701685191825,11156,0.9629408842523597,10065
S1,folds_0_4,1.0,Ethnic,0.7862232779097386,0.8162762022194822,811,0.7583046964490263,873
S1,folds_0_4,2.0,Formal,0.5209634255129348,0.8538011695906432,342,0.3748395378690629,779
S1,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
S1,folds_0_4,4.0,NA,0.08333333333333334,0.5,2,0.045454545454545456,22
S1,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
S1,folds_0_4,6.0,Smart Casual,0.0,0.0,0,0.0,18
S1,folds_0_4,7.0,Sports,0.5699578848853533,0.7622027534418022,799,0.4551569506726457,1338
S1,folds_0_4,8.0,Travel,0.0,0.0,0,0.0,8
S2,all_available_folds,0.0,Casual,0.9224749327463928,0.9084778420038536,10380,0.936910084451068,10065
S2,all_available_folds,1.0,Ethnic,0.8162790697674419,0.8288075560802833,847,0.8041237113402062,873
S2,all_available_folds,2.0,Formal,0.7640594699418228,0.76953125,768,0.7586649550706034,779
S2,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
S2,all_available_folds,4.0,NA,0.1714285714285714,0.23076923076923078,13,0.13636363636363635,22
S2,all_available_folds,5.0,Party,0.0,0.0,2,0.0,6
