model,scope,class_name,support,prevalence,average_precision,roc_auc,true_top1,true_top2,true_top3,true_probability_median,largest_probability
E7,all_available_folds,Travel,22,0.0006713047723666544,0.044187564708683263,0.9006523247744622,0.13636363636363635,0.4090909090909091,0.6363636363636364,0.039860716,0.9507293
E7,folds_0_4,Casual,10065,0.7677345537757437,0.9459111184337267,0.8669996745293523,0.9363139592647789,0.9963238946845504,0.9995032290114257,0.9284163,0.99797255
E7,folds_0_4,Ethnic,873,0.06659038901601831,0.8204874259424544,0.9688856051366572,0.738831615120275,0.9163802978235968,0.9679266895761741,0.8723338,0.9966922
E7,folds_0_4,Formal,779,0.059420289855072465,0.7170358831989595,0.948136494754394,0.6341463414634146,0.8485237483953787,0.9473684210526315,0.6532931,0.99347913
E7,folds_0_4,Home,1,7.627765064836003e-05,0.00011318619128466328,0.3261118315660996,0.0,0.0,0.0,4.8851945e-07,0.13738927
E7,folds_0_4,NA,22,0.0016781083142639206,0.10171809655727126,0.8361997110468993,0.2727272727272727,0.3181818181818182,0.5454545454545454,0.019655814,0.8882116
E7,folds_0_4,Party,6,0.0004576659038901602,0.00897043448574474,0.6825778388278388,0.0,0.16666666666666666,0.3333333333333333,4.76775385e-05,0.6506343
E7,folds_0_4,Smart Casual,18,0.0013729977116704805,0.01066787320287545,0.8230132056896493,0.0,0.3333333333333333,0.6666666666666666,0.012253235849999999,0.7730714
E7,folds_0_4,Sports,1338,0.10205949656750572,0.596374746490862,0.8835877436109194,0.4618834080717489,0.9005979073243647,0.9783258594917787,0.419438545,0.9796783
E7,folds_0_4,Travel,8,0.0006102212051868803,0.06039841984007441,0.9267478247595786,0.125,0.375,0.75,0.052209476000000005,0.9507293
E8,all_available_folds,Casual,25151,0.767453924081533,0.9683668547399638,0.9203231455894337,0.9494652300107351,0.9977336885213312,0.999960240149497,0.95334613,0.9999851
E8,all_available_folds,Ethnic,2183,0.06661174173074576,0.9191478493622983,0.9874885488058717,0.8176820888685296,0.9615208428767751,0.9853412734768667,0.9604761,0.9999856
E8,all_available_folds,Formal,1949,0.05947150006102771,0.8293051732335438,0.9727397166166337,0.7511544381734223,0.9204720369420215,0.978450487429451,0.8300136,0.99993825
E8,all_available_folds,Home,1,3.0513853289393385e-05,7.692307692307693e-05,0.6033383174147875,0.0,0.0,0.0,6.5305308e-06,0.041585535
E8,all_available_folds,NA,61,0.0018613450506529965,0.1149046376056177,0.9038043551800642,0.19672131147540983,0.6065573770491803,0.7704918032786885,0.06529066,0.9947008
E8,all_available_folds,Party,12,0.0003661662394727206,0.02213131933860458,0.8119251119251119,0.08333333333333333,0.25,0.4166666666666667,0.00231702755,0.89467806
E8,all_available_folds,Smart Casual,47,0.001434151104601489,0.027486623530071728,0.8972930448775255,0.1276595744680851,0.574468085106383,0.7021276595744681,0.030031862,0.9561884
E8,all_available_folds,Sports,3346,0.10209935310631027,0.7469460528008957,0.9424435226070247,0.5875672444710102,0.9611476389719068,0.9913329348475792,0.62179847,0.9998301
E8,all_available_folds,Travel,22,0.0006713047723666544,0.17825425682842305,0.9351630811936156,0.22727272727272727,0.5454545454545454,0.7272727272727273,0.037952808,0.97620505
E8,folds_0_4,Casual,10065,0.7677345537757437,0.9698627726244122,0.9210466287685055,0.9489319423745654,0.9981122702434178,1.0,0.9504136,0.9999851
E8,folds_0_4,Ethnic,873,0.06659038901601831,0.9216796642172613,0.9866642029164175,0.8293241695303551,0.9656357388316151,0.9885452462772051,0.96893287,0.99996877
E8,folds_0_4,Formal,779,0.059420289855072465,0.834034248252996,0.9772464672305385,0.7355584082156611,0.9293966623876765,0.9781771501925546,0.8217102,0.99983764
E8,folds_0_4,Home,1,7.627765064836003e-05,0.0002642706131078224,0.7114196353650164,0.0,0.0,0.0,6.5305308e-06,0.041585535
E8,folds_0_4,NA,22,0.0016781083142639206,0.17917049625076922,0.89783840853523,0.22727272727272727,0.6818181818181818,0.7727272727272727,0.068277664,0.9843864
E8,folds_0_4,Party,6,0.0004576659038901602,0.12048244754299378,0.8714896214896215,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.059804198,0.89467806
E8,folds_0_4,Smart Casual,18,0.0013729977116704805,0.03418110583790387,0.9339757952269409,0.1111111111111111,0.6111111111111112,0.7222222222222222,0.0713997265,0.71083486
E8,folds_0_4,Sports,1338,0.10205949656750572,0.7482818335980611,0.9431925188445944,0.5994020926756353,0.9626307922272048,0.9910313901345291,0.63403472,0.999819
E8,folds_0_4,Travel,8,0.0006102212051868803,0.14245849137249708,0.8458823080445734,0.125,0.375,0.625,0.021681838000000002,0.95688695
