id_left,id_right,distance,dhash_left,dhash_right
7782,10260,2,9696969696b63636,969696969696b636
8199,9775,2,0f0d163337070f17,0f4d163317070f17
8597,12620,2,0f0d06370717070f,0f4d06330717070f
8709,8768,2,004114410b0f4009,000114410b0f0009
8855,12010,2,4d4d0f1333171717,4f4d0f1333171617
8855,14523,2,4d4d0f1333171717,0d4d0f3333171717
8855,17553,2,4d4d0f1333171717,0d4d0f3333171717
8855,19719,2,4d4d0f1333171717,0d4c0f1333171717
8855,26062,2,4d4d0f1333171717,4d4d0f3333371717
8860,12010,2,4d4d0f1333171717,4f4d0f1333171617
8860,14523,2,4d4d0f1333171717,0d4d0f3333171717
8860,17553,2,4d4d0f1333171717,0d4d0f3333171717
8860,19719,2,4d4d0f1333171717,0d4c0f1333171717
8860,26062,2,4d4d0f1333171717,4d4d0f3333371717
8883,8901,2,968e96969696b636,969696969696b636
8883,10260,2,968e96969696b636,969696969696b636
9230,12010,2,4d4d0f1333171717,4f4d0f1333171617
9230,14523,2,4d4d0f1333171717,0d4d0f3333171717
9230,17553,2,4d4d0f1333171717,0d4d0f3333171717
9230,19719,2,4d4d0f1333171717,0d4c0f1333171717
9230,26062,2,4d4d0f1333171717,4d4d0f3333371717
9608,20167,2,4d4d0e333333370f,4d4d0e333333170e
9809,19846,2,4d4d0f1323331717,0d4d0f1323231717
11506,47597,2,0004032c0f074009,0004022c0f07400b
11524,24273,2,0d4d9633332b0f0e,0d4d963333330f0e
12015,13668,2,4d4d0f3333171717,4d4d0f3323171797
12015,30786,2,4d4d0f3333171717,0d4d0f3333170717
12620,29797,2,0f4d06330717070f,0f4d16330707070f
13668,14287,2,4d4d0f3323171797,4d4d0f3333171717
13668,31624,2,4d4d0f3323171797,4d4d0f3333171717
13703,39985,2,0806390e07034001,1806390e07034009
13749,14523,2,0f4d0f3313171717,0d4d0f3333171717
13749,17553,2,0f4d0f3313171717,0d4d0f3333171717
13860,17179,2,4d4d8f133307070f,4d0d0f133307070f
14287,30786,2,4d4d0f3333171717,0d4d0f3333170717
14518,15912,2,0d0d0e3633171717,4d0d0e3233171717
14523,19719,2,0d4d0f3333171717,0d4c0f1333171717
14523,20026,2,0d4d0f3333171717,0d4d0e3333171716
14523,26062,2,0d4d0f3333171717,4d4d0f3333371717
14523,29700,2,0d4d0f3333171717,0d4d0f3333351717
14823,20988,2,0641063b2b0e0006,06410e3b2b0e000e
14860,45668,2,1600969696960c00,1600969696968e00
15385,46105,2,0006012607036001,000e012607036009
15507,35571,2,3806393e07034009,1806393e0703400d
15758,15819,2,4d4d17171f0f160e,4d4d1717170f170e
15984,32046,2,0d4d0f333323371f,4d4d0f333323371e
16020,16512,2,1f1f1e9496969696,1f1f1e96969696b6
16881,16941,2,000110430b1f4009,000910430b1b4009
17553,19719,2,0d4d0f3333171717,0d4c0f1333171717
17553,20026,2,0d4d0f3333171717,0d4d0e3333171716
17553,26062,2,0d4d0f3333171717,4d4d0f3333371717
17553,29700,2,0d4d0f3333171717,0d4d0f3333351717
17774,32613,2,04410e1323060006,04410e3323060106
20259,34239,2,4d4d0f1333231f16,4d4d0f3333233f16
21747,36484,2,3806793e07032001,7806793e07032005
22159,46796,2,6804793c0f034009,7804797c0f034009
22548,23609,2,004d4d4d4d4d4d0c,000c4d4d4d4d4d0c
22548,26213,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
22548,44957,2,004d4d4d4d4d4d0c,004d4d4d4d4d0d08
22548,45766,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
22548,46630,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
22548,46669,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
22621,31455,2,000e331796969600,000f3b1796969600
23312,24164,2,4d4d9696969e960f,0d4d96969696960f
23312,40565,2,4d4d9696969e960f,4d4d96969696960e
23553,23609,2,004d4d4d4d4d4d0c,000c4d4d4d4d4d0c
23553,26213,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
23553,44957,2,004d4d4d4d4d4d0c,004d4d4d4d4d0d08
23553,45766,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
23553,46630,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
23553,46669,2,004d4d4d4d4d4d0c,004d4d4d4d4d4d00
23581,23609,2,000c4d4d4d4d0c0c,000c4d4d4d4d4d0c
23581,37907,2,000c4d4d4d4d0c0c,000d0d4d4d4d0c0c
23581,46662,2,000c4d4d4d4d0c0c,000c4d4d4d4d0c00
23609,46635,2,000c4d4d4d4d4d0c,000c4d4d4d4d4d00
23610,28257,2,000d4d4d4d4d4d0c,000d4d4d4d4d4d00
23610,44151,2,000d4d4d4d4d4d0c,004d4d4d4d4d0d0c
23777,28382,2,00031043030f0009,00033043030f000b
24041,26293,2,0f4d963317170f0e,0d4d963317170f0f
24164,32576,2,0d4d96969696960f,0d4d96968696960e
24164,40565,2,0d4d96969696960f,4d4d96969696960e
24253,39986,2,1806390e07074009,1806390e07074005
24499,24510,2,0d45969696968697,0d45969697868697
25061,25069,2,1817111d39030621,1817111d19130621
25788,25796,2,0f4b0f171717332b,0f0f0f171717332b
26062,29700,2,4d4d0f3333371717,0d4d0f3333351717
26062,32767,2,4d4d0f3333371717,4d4d0f333333171f
26213,44957,2,004d4d4d4d4d4d00,004d4d4d4d4d0d08
26213,46635,2,004d4d4d4d4d4d00,000c4d4d4d4d4d00
26676,42713,2,002c032c0f036003,000c032c0f032003
28257,40160,2,000d4d4d4d4d4d00,000d8d4d4d4d4d00
28257,41962,2,000d4d4d4d4d4d00,000d8d4d4d4d4d00
