file_sha256,pixel_sha256,ids,count
1e5039bdf001e5759933fe2ce6e325bddc219e8c44f960d6996531cf31a190a1,4e068d1a5fae701a23d6cb92a98159e1f08f7d2b3d8305f4a85e3b0ac9a6d617,"(43575, 43576)",2
1e56ae624cbe6da460f26cce8b292a8387b9279e8b0b047b0c7402124bded585,f1114baedf3751d4f9bc8fc0f94c3f9207f4b945a35aeec6bdcc73461a6d2710,"(29667, 31657)",2
1eb2033a8be588402fd207a56f39fce296b27d589a9577c750e5d1c0c6631835,3c299f96abed7196cb20aeb8912d37172d4e80af4e1295585ffbe5beda516a5d,"(11108, 11109)",2
1ed371191e7682a8dae713bb2528652f01a3cd1822b25f01f2216b376147edae,910dd359a470da63f65e850c9d873ceb938f35d1110edd7f401e54ecac79d527,"(11145, 11146)",2
1ef7627bf19c3ed594a0d65aadb1ec7a37d0a40330ce17e5be116dc194dcf96e,f3319faed11d775f4aadbb5f9a8395460d6341446adfc941a5fe14da32c91375,"(26050, 30215)",2
1f76336329910465dda8881d5871ba9c1c74b0114242b3feeef013c5ea29bdad,bb6452c3e9eac3708059a9dae2dac9d330ca8bf10c27bf86940dfc1c89c66424,"(12208, 12209)",2
1fa20bae0b86d66e79be3f529ff73372fac7cdda0cb2946537de8e746c8a5dfc,a82744cb5544a3f8a172f02179a9ebb729ff3c26ec3d454746877ee651d6754a,"(38491, 40982)",2
1fae184e596f4f71b524b9b5b4cd8a8c5dcd9355172cb3b1337ad4ef784c60a6,2f0d6821d7b40c233fcfc9cb1aab8e62803cb42de0d9a75ca1b7b39224e170a9,"(4886, 4887)",2
1fe27c65ba4f5395723f077ee0dd2ca4e182fb6f54fa726f6afa1572d4601cac,3caafda986c0ce706c8e939d4e89efae96758f9177d023e02ecb79a0059f6201,"(38991, 40948)",2
2018fc28d9360cfdc7be8ab2109a210c9f348e2b4f7b705ab7bc3a2ee34e838e,61d09f2cda2de59177dedf3ae49b1f1c42c3d9299d2a83e98526c4883bbb9a0f,"(13269, 13270)",2
2189c462667ea39b64106920446b249b3d4db9348133ca1345a5a9934ce62a85,5e504566bc9a7ce612bc0604df9e7dac1877ee9c6e57d469713302a9277e7811,"(41301, 43592, 43593)",3
21fe89ef7fe4eb732e717b653369388b34937160dff1968bf0eca943b5a72b61,7515f978d4d075aa977f0eff2b5c763bcc55caf96fdab9ee40d3d228c0a68300,"(11147, 11148)",2
225539786249a5c7c96418a56f5ceefd19087f444206381388c0870aba05aff3,24800723495a4686dcdb661b28b36c70c1a1a376eee826829d6bb9704c5a5e71,"(9481, 9482)",2
227277f36997fb530159eb97b3586194caafabae0b5c5cf7fe00f58334e6356b,c25f5d952d983fe7d4ce06e5a074027d6342ccb415a926964f15fd0fe7d02783,"(23715, 23717)",2
22c8a21f2c3b2d5f6df6c10f567c54a3b72f4fae6e29a8a7663c0dd2b4b788dd,d63cb57a62cba6b13cb7cdf35504d0c1255899792fc10f5fe1894d3295ebc309,"(31094, 34042, 34043)",3
23ad92cbe028a81efc873d940a7e1d6159785fc19aecf7e0c9d1cc9292e8d8de,e87a41cc6c5b85ec3068e64dcd04bd6d51a5db54a204535f8b57ccba5bb08eea,"(26123, 31133)",2
