gender,articleType,n,correct,recall,fold
Unisex,Scarves,2,1,0.5,4
Unisex,Shoe Accessories,14,10,0.7142857142857143,4
Unisex,Shoe Laces,1,1,1.0,4
Unisex,Socks,46,32,0.6956521739130435,4
Unisex,Sports Sandals,3,2,0.6666666666666666,4
Unisex,Sports Shoes,29,8,0.27586206896551724,4
Unisex,Sunglasses,95,80,0.8421052631578947,4
Unisex,Sweatshirts,1,0,0.0,4
Unisex,Swimwear,2,1,0.5,4
Unisex,Track Pants,1,0,0.0,4
Unisex,Travel Accessory,8,8,1.0,4
Unisex,Trolley Bag,2,2,1.0,4
Unisex,Tshirts,49,43,0.8775510204081632,4
Unisex,Waist Pouch,11,9,0.8181818181818182,4
Unisex,Wallets,14,1,0.07142857142857142,4
Unisex,Watches,88,60,0.6818181818181818,4
Unisex,Water Bottle,6,4,0.6666666666666666,4
Unisex,Wristbands,4,4,1.0,4
Women,Baby Dolls,2,2,1.0,4
Women,Backpacks,24,20,0.8333333333333334,4
Women,Bangle,36,35,0.9722222222222222,4
Women,Belts,185,179,0.9675675675675676,4
Women,Blazers,1,1,1.0,4
Women,Bra,201,201,1.0,4
Women,Bracelet,21,21,1.0,4
Women,Briefs,105,104,0.9904761904761905,4
Women,Camisoles,10,10,1.0,4
Women,Capris,77,74,0.961038961038961,4
Women,Caps,15,11,0.7333333333333333,4
Women,Casual Shoes,214,201,0.9392523364485982,4
Women,Churidar,13,13,1.0,4
Women,Clutches,151,150,0.9933774834437086,4
Women,Compact,4,4,1.0,4
Women,Deodorant,69,65,0.9420289855072463,4
Women,Dresses,186,183,0.9838709677419355,4
Women,Duffel Bag,3,3,1.0,4
Women,Dupatta,80,80,1.0,4
Women,Earrings,160,160,1.0,4
Women,Eyeshadow,3,3,1.0,4
Women,Flats,284,279,0.9823943661971831,4
Women,Flip Flops,150,144,0.96,4
Women,Foundation and Primer,9,9,1.0,4
Women,Fragrance Gift Set,17,17,1.0,4
Women,Free Gifts,21,21,1.0,4
Women,Handbags,934,931,0.9967880085653105,4
Women,Heels,707,705,0.9971711456859972,4
Women,Highlighter and Blush,4,4,1.0,4
Women,Innerwear Vests,1,1,1.0,4
Women,Ipad,1,1,1.0,4
Women,Jackets,28,27,0.9642857142857143,4
Women,Jeans,138,138,1.0,4
Women,Jeggings,18,18,1.0,4
Women,Jewellery Set,32,32,1.0,4
Women,Jumpsuit,8,8,1.0,4
Women,Kajal and Eyeliner,9,9,1.0,4
Women,Kurta Sets,50,50,1.0,4
Women,Kurtas,1015,1015,1.0,4
Women,Kurtis,136,136,1.0,4
Women,Laptop Bag,7,5,0.7142857142857143,4
Women,Leggings,91,91,1.0,4
Women,Lip Gloss,4,4,1.0,4
Women,Lip Liner,7,7,1.0,4
Women,Lip Plumper,3,3,1.0,4
Women,Lipstick,6,6,1.0,4
Women,Lounge Pants,14,14,1.0,4
