candidate,experiment_id,seed,slice_family,slice_name,support,low_support,labels_present,accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_true_probability,nll,brier,ece,recall_Fall,recall_Spring,recall_Summer,recall_Winter
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,acquisition_year,missing_year,0,True,0,,,,,,,,,,,,
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,acquisition_year,other_years,9857,False,4,0.7354164553109466,0.6616300168443089,0.6684579613501848,0.819529964287842,0.6881072623014782,0.7621956291291714,0.37576394046477596,0.08420088882216087,0.413589364844904,0.6843003412969283,0.7864782276546982,0.762152133580705
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,article_type_shortcut,aligned,21115,False,4,0.8711816244376036,0.905034110678701,0.8585717900648061,0.8387770445672026,0.7904003508616341,0.33631066174910396,0.1926797816684386,0.03240457934027199,0.8637554585152838,0.9473684210526315,0.8442354580285615,0.9647771051183269
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,article_type_shortcut,conflict,11619,False,4,0.5415268095361047,0.4449008622987796,0.4279114173427857,0.7457609028637291,0.5124573187511652,1.2262753495602268,0.6329088725820068,0.20424642338509313,0.5763145999698659,0.08713692946058091,0.6728922091782283,0.44325971058644326
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,article_type_shortcut,missing_article_type,0,True,0,,,,,,,,,,,,
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,article_type_shortcut,unseen_article_type,19,True,4,0.21052631578947367,0.14772727272727273,0.11309523809523808,0.7890748381614685,0.2254483436577414,3.15100876038978,1.2477081114949375,0.6814616801694608,0.0,0.09090909090909091,0.5,0.0
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,file_size_quartile,q1_smallest,8187,False,4,0.7621839501648956,0.6368970041218907,0.6693102411932323,0.8239490359683053,0.7084317207689218,0.6079105455515628,0.33821950425194347,0.06264134969406739,0.783175355450237,0.2696629213483146,0.7531229454306377,0.7416267942583732
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,file_size_quartile,q2,8192,False,4,0.745849609375,0.7045834966658635,0.7336657505083848,0.8059549962636083,0.6856463449679553,0.6700649828611304,0.35990267522997277,0.0603355318524907,0.6036281179138322,0.6766467065868264,0.8360467782618666,0.7020123839009288
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,file_size_quartile,q3,8181,False,4,0.7252169661410586,0.6723009722299389,0.7047396268861897,0.7757418143065835,0.6553355726989558,0.7384687647650796,0.3861368989812707,0.054664248946827976,0.41732283464566927,0.6993464052287581,0.825922182920667,0.7466124661246613
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,file_size_quartile,q4_largest,8193,False,4,0.7821310875137313,0.6738712277820886,0.7131254230594868,0.8173279358756335,0.7164387693616354,0.5982684163612683,0.313633158454467,0.04074063516862532,0.5280289330922242,0.5340136054421769,0.8569963069347558,0.7764460656591975
