candidate,calibration_method,requested_coverage,coverage,review_rate,retained_count,review_count,confidence_threshold,accepted_correct_count,selective_accuracy,selective_risk,selective_macro_f1,accepted_id_sha256
C2,uncalibrated,0.38,0.3800262571367508,0.6199737428632492,12447,20306,0.9289279867772532,11603,0.9321924961838194,0.06780750381618061,0.9325996147860887,e70480078b85f66b521699a19187c77aac3c14f3d1d16163ee25105984480c05
C2,uncalibrated,0.39,0.39001007541293925,0.6099899245870608,12774,19979,0.9240084487355253,11877,0.92977923907938,0.07022076092062002,0.9304609131476915,771abb700849ada3a1c7d93d650c8e61d12034e0442d3accd9c31e67eff32c7a
C2,uncalibrated,0.4,0.40002442524348913,0.5999755747565109,13102,19651,0.9188792068706513,12149,0.9272630132804152,0.07273698671958484,0.9282669053364381,ebf580b44c3245808b743799466fb26d086cde22cdaa5f8ce4f97198c88e71b5
C2,uncalibrated,0.41,0.4100082435196776,0.5899917564803224,13429,19324,0.9138068202802423,12421,0.9249385657904535,0.07506143420954647,0.9256164002757025,cfce7066b1020fff459ffadb57a07c1f12f251a9c07b81c4a10f2f4d9ebca6e9
C2,uncalibrated,0.42,0.42002259335022746,0.5799774066497725,13757,18996,0.9090515541524009,12694,0.9227302464200043,0.07726975357999566,0.9233271351214904,8c75206d8578fcc999287457f26d6830b97e2b585b7ef4b3b8d08af4c5fccc47
C2,uncalibrated,0.43,0.4300064116264159,0.569993588373584,14084,18669,0.9037615583204539,12960,0.9201931269525703,0.07980687304742973,0.9209432874601415,0ef4f7ed62158c40cd76cba16ff57383f166ada82c1eca1453ed75c967d19313
C2,uncalibrated,0.44,0.4400207614569658,0.5599792385430342,14412,18341,0.8978587976149542,13233,0.9181931723563697,0.08180682764363034,0.9189466228806464,a2553bbde4391f908785f42b3845dbced3e8d0c321ff072c60bb20aa2aafe5c9
C2,uncalibrated,0.45,0.4500045797331542,0.5499954202668458,14739,18014,0.8920130340797595,13505,0.9162765452201642,0.08372345477983578,0.9168855403346133,502d951ac8a1e42830f201f16390c0515d406036c3434f00a208bad84f9271e3
C2,uncalibrated,0.46,0.4600189295637041,0.539981070436296,15067,17686,0.8861782731620181,13774,0.9141833145284396,0.0858166854715604,0.9146770017220548,99e165f9a0e8525d596db5967e20543b312ffd14ce793cb2fe21e4bdbfc65c04
C2,uncalibrated,0.47,0.47000274783989254,0.5299972521601075,15394,17359,0.8806928347012428,14038,0.9119137326230999,0.08808626737690006,0.9125360589722068,e8f6329fcd74899cded55bd34b64a1dc40c06e823f90e25af71cb9e7ae940d22
C2,uncalibrated,0.48,0.4800170976704424,0.5199829023295576,15722,17031,0.87418244196308,14293,0.9091082559470806,0.09089174405291944,0.9093239101809795,7f5f4a78a3b2b16a98226228c8eb0b24b702348133bf2eec0e098a942e2263f3
C2,uncalibrated,0.49,0.49000091594663087,0.5099990840533691,16049,16704,0.8679952776937351,14535,0.9056639042931024,0.0943360957068976,0.9054957368688914,e1e3b5a61be2d3b855772d5514f275fb3aa34c9288352de3f1be6bbc659a3cea
C2,uncalibrated,0.5,0.5000152657771807,0.4999847342228193,16377,16376,0.8614812223545218,14783,0.9026683763815107,0.09733162361848935,0.902185166749842,6fe3c3054189e189b4e163ab009b6357da8390164512e29cfb5f126598d810db
C2,uncalibrated,0.51,0.5100296156077306,0.48997038439226936,16705,16048,0.8549365593231931,15027,0.8995510326249626,0.10044896737503739,0.8988025637661623,fc74073322674d958dedaa3ec3b44f9bf4cd620f195207694e38b78a5b9754b2
C2,uncalibrated,0.52,0.5200134338839191,0.4799865661160809,17032,15721,0.8477505088019753,15270,0.8965476749647722,0.10345232503522783,0.8959049766865511,6896638f1d13cf45702c20adbe24b736a0f8dfc4887b6093a082f61162fb7502
C2,uncalibrated,0.53,0.5300277837144689,0.4699722162855311,17360,15393,0.8404479767645594,15517,0.8938364055299539,0.10616359447004609,0.893149193700741,63901206e40f1ca24ac1d5bfaffff4446649ac7bebee1c28c0f5f0454bd47cdb
C2,uncalibrated,0.54,0.5400116019906573,0.45998839800934266,17687,15066,0.8324882062815467,15768,0.8915022332786793,0.10849776672132072,0.8909650224909733,bddd8e1520711089323d631762063e4953debce1ccaf2f2b83120d86fba2dc96
C2,uncalibrated,0.55,0.5500259518212072,0.44997404817879283,18015,14738,0.8239915154878563,16023,0.8894254787676936,0.11057452123230638,0.88879847367732,9fae93c2b71eebadf6c2021ca4c9bb80016647b2517ee45bccb1ad680bfa2c00
C2,uncalibrated,0.56,0.5600097700973956,0.4399902299026044,18342,14411,0.8166509164188871,16263,0.8866535819430814,0.11334641805691859,0.885674758602476,11492974d33ba205db901597731163a040c00b7eb069fc6ec1353da1735c6457
C2,uncalibrated,0.57,0.5700241199279455,0.42997588007205445,18670,14083,0.809347641230457,16498,0.883663631494376,0.11633636850562401,0.8823449861227738,dbee5188492f0944ea8dc9ebb275435216f7b49ffca3040f635950c9f6ef07f0
C2,uncalibrated,0.58,0.580007938204134,0.419992061795866,18997,13756,0.8011905606919242,16743,0.8813496867926515,0.11865031320734853,0.8803222330378813,2cf0dc5116ff271f81c9bd31efca027b210958c3221a37f2bc490753b3558cfc
C2,uncalibrated,0.59,0.5900222880346838,0.4099777119653162,19325,13428,0.7929933726265534,16971,0.8781888745148771,0.12181112548512285,0.877386859904785,5224e3b648b154b26a7d7ad465869f4ff99f09e8412decbe913b6aa049d68597
C2,uncalibrated,0.6,0.6000061063108723,0.39999389368912774,19652,13101,0.7847723668069181,17195,0.8749745572969673,0.12502544270303273,0.874022146615408,881e4956b23429e7f09a902f883cf89d780466fa3e7e3858459df5da5ef991f1
